fiber_length;fiber_type;connector_type;olt_txpower;olt_rxpower;olt_temperature;olt_splitter;odc_splitter;odp_splitter;ont_txpower;ont_rxpower;ont_temperature;onu_link_status;wavelength;spec_status;
4674;SM;SC;3,93;-22,58;27;1:2;1:4;1:8;2,62;-21,3;54;ONLINE;1490;SPEC;
4823;SM;SC;3,32;-19,78;39;1:2;1:4;1:8;2,21;-18,66;47;ONLINE;1490;SPEC;
4766;SM;SC;3,29;-20,28;35;1:2;1:4;1:8;2,19;-19,13;49;ONLINE;1490;SPEC;
3638;SM;SC;3,73;-25,98;42;1:2;1:4;1:8;2,65;-23,98;46;ONLINE;1490;UNSPEC;
6318;SM;SC;3,84;-20,66;30;1:2;1:4;1:8;2,23;-17,82;41;ONLINE;1490;SPEC;
2596;SM;SC;3,93;-22,52;40;1:2;1:4;1:8;2,33;-20,75;46;ONLINE;1490;SPEC;
1300;SM;SC;3,73;-23,88;31;1:2;1:4;1:16;1,82;-20,6;49;ONLINE;1490;SPEC;
744;SM;SC;3,36;-22,93;39;1:2;1:4;1:16;2,24;-22,75;50;ONLINE;1490;SPEC;
1249;SM;SC;2,79;-21,68;26;1:2;1:4;1:16;1,86;-19,13;50;ONLINE;1490;SPEC;
1304;SM;SC;3,32;-27,7;31;1:2;1:4;1:16;2,21;-24,2;48;ONLINE;1490;UNSPEC;
1512;SM;SC;3,63;-23,19;26;1:2;1:4;1:16;2,42;-21,13;45;ONLINE;1490;SPEC;
864;SM;SC;3,87;-18,87;36;1:2;1:4;1:16;2,58;-18,15;43;ONLINE;1490;SPEC;
1305;SM;SC;3,23;-27,22;31;1:2;1:4;1:16;2,15;-24,43;47;ONLINE;1490;UNSPEC;
903;SM;SC;3,74;-19,83;30;1:2;1:4;1:16;2,49;-17,98;39;ONLINE;1490;SPEC;
768;SM;SC;3,27;-18,03;38;1:2;1:4;1:16;2,18;-17,28;60;ONLINE;1490;SPEC;
1079;SM;SC;3,48;-21,31;32;1:2;1:4;1:16;2,32;-19,62;51;ONLINE;1490;SPEC;
1099;SM;SC;3,36;-21,25;36;1:2;1:4;1:16;2,24;-19,43;57;ONLINE;1490;SPEC;
874;SM;SC;3,66;-21,68;26;1:2;1:4;1:16;2,44;-19,5;41;ONLINE;1490;SPEC;
742;SM;SC;2,88;-22,52;31;1:2;1:4;1:16;1,92;-20,65;40;ONLINE;1490;SPEC;
778;SM;SC;2,73;-23,28;38;1:2;1:4;1:16;1,82;-21,42;45;ONLINE;1490;SPEC;
1391;SM;SC;3,35;-24,82;34;1:2;1:4;1:16;2,23;-22,36;53;ONLINE;1490;UNSPEC;
1069;SM;SC;3,3;-20,87;36;1:2;1:4;1:16;2,2;-19,7;52;ONLINE;1490;SPEC;
1190;SM;SC;3,74;-21,81;28;1:2;1:4;1:16;2,49;-20,13;38;ONLINE;1490;SPEC;
904;SM;SC;3,98;-19,32;39;1:2;1:4;1:16;2,65;-18,15;40;ONLINE;1490;SPEC;
759;SM;SC;3,27;-26,39;26;1:2;1:4;1:16;2,18;-25,08;43;ONLINE;1490;UNSPEC;
749;SM;SC;3,02;-18,61;29;1:2;1:4;1:16;2,01;-19,1;48;ONLINE;1490;SPEC;
760;SM;SC;2,84;-25,69;33;1:2;1:4;1:16;1,89;-24,31;40;ONLINE;1490;UNSPEC;
760;SM;SC;3,59;-25,53;39;1:2;1:4;1:16;2,39;-24,43;42;ONLINE;1490;UNSPEC;
759;SM;SC;3,45;-25,38;35;1:2;1:4;1:16;2,3;-24,81;45;ONLINE;1490;UNSPEC;
745;SM;SC;3,44;-19,44;33;1:2;1:4;1:16;2,29;-17,42;46;ONLINE;1490;SPEC;
781;SM;SC;2,99;-19,71;40;1:2;1:4;1:16;1,99;-18,32;40;ONLINE;1490;SPEC;
1263;SM;SC;2,79;-22,84;27;1:2;1:4;1:16;1,86;-20,97;49;ONLINE;1490;SPEC;
1089;SM;SC;2,79;-23,57;32;1:2;1:4;1:16;1,86;-22,44;54;ONLINE;1490;SPEC;
788;SM;SC;3,21;-20,18;38;1:2;1:4;1:16;2,14;-18,5;47;ONLINE;1490;SPEC;
760;SM;SC;3,3;-18,33;39;1:2;1:4;1:16;2,2;-17,12;51;ONLINE;1490;SPEC;
1343;SM;SC;3,53;-20,23;36;1:2;1:4;1:16;2,35;-18,28;55;ONLINE;1490;SPEC;
1371;SM;SC;3,44;-23,28;30;1:2;1:4;1:16;2,29;-22,84;49;ONLINE;1490;SPEC;
1110;SM;SC;3,38;-23,67;25;1:2;1:4;1:16;2,25;-21,94;48;ONLINE;1490;SPEC;
1064;SM;SC;3,45;-20,71;39;1:2;1:4;1:16;2,3;-18,32;49;ONLINE;1490;SPEC;
1104;SM;SC;3,09;-20,97;37;1:2;1:4;1:16;2,06;-18,44;50;ONLINE;1490;SPEC;
1106;SM;SC;3,24;-20,37;36;1:2;1:4;1:16;2,16;-17,54;49;ONLINE;1490;SPEC;
1376;SM;SC;3,5;-18,1;40;1:2;1:4;1:16;2,33;-16,07;44;ONLINE;1490;SPEC;
1372;SM;SC;3,45;-21,68;26;1:2;1:4;1:16;2,3;-21,74;45;ONLINE;1490;SPEC;
1509;SM;SC;3,68;-20,61;38;1:2;1:4;1:16;2,45;-19,87;48;ONLINE;1490;SPEC;
1070;SM;SC;3,18;-21,03;34;1:2;1:4;1:16;2,12;-18,09;57;ONLINE;1490;SPEC;
1233;SM;SC;3,18;-20,87;38;1:2;1:4;1:16;2,12;-18,18;50;ONLINE;1490;SPEC;
1234;SM;SC;3,02;-17,13;39;1:2;1:4;1:16;2,01;16,4;39;ONLINE;1490;SPEC;
1245;SM;SC;3,77;-20,92;34;1:2;1:4;1:16;2,51;-18,18;48;ONLINE;1490;SPEC;
1370;SM;SC;3,81;-17,75;25;1:2;1:4;1:16;2,54;-17,7;49;ONLINE;1490;SPEC;
1184;SM;SC;3,5;-20,18;27;1:2;1:4;1:16;2,33;-18,44;49;ONLINE;1490;SPEC;
1345;SM;SC;3,62;-21,08;29;1:2;1:4;1:16;2,41;-21,74;58;ONLINE;1490;SPEC;
4612;SM;SC;3,52;-23,19;33;1:2;1:4;1:16;2,23;-20,65;54;ONLINE;1490;SPEC;
4291;SM;SC;3,85;-17,78;24;1:2;1:4;1:8;2,27;-17,03;48;ONLINE;1490;SPEC;
4670;SM;SC;3,92;-23,77;29;1:2;1:4;1:16;2,48;-22;48;ONLINE;1490;SPEC;
6620;SM;SC;3,69;-19,79;32;1:2;1:4;1:8;2,28;-18,41;50;ONLINE;1490;SPEC;
6130;SM;SC;3,55;-21,13;31;1:2;1:4;1:16;2,25;-21,13;49;ONLINE;1490;SPEC;
6205;SM;SC;3,76;-21,94;31;1:2;1:4;1:8;2,24;-20,65;44;ONLINE;1490;SPEC;
3262;SM;SC;3,82;-24,09;41;1:2;1:4;1:8;2,15;-23,56;25;ONLINE;1490;UNSPEC;
2588;SM;SC;3,88;-20,37;39;1:2;1:4;1:8;2,28;-21,94;43;ONLINE;1490;SPEC;
4346;SM;SC;3,87;-23,1;48;1:2;1:4;1:8;1,94;-20,17;51;ONLINE;1490;SPEC;
4157;SM;SC;3,85;-22,79;32;1:2;1:4;1:8;2,3;-22,52;60;ONLINE;1490;SPEC;
3638;SM;SC;3,73;-25,09;42;1:2;1:4;1:8;2,65;-23,98;46;ONLINE;1490;UNSPEC;
6502;SM;SC;3,86;-20,33;29;1:2;1:4;1:8;2,34;-21,74;58;ONLINE;1490;SPEC;
2252;SM;SC;3,64;-21,14;33;1:2;1:4;1:8;2,21;-19,43;49;ONLINE;1490;SPEC;
2346;SM;SC;3,74;-21,43;33;1:2;1:4;1:8;1,91;-19,7;55;ONLINE;1490;SPEC;
2354;SM;SC;3,76;-23,88;33;1:2;1:4;1:8;2,12;-23,18;47;ONLINE;1490;SPEC;
3140;SM;SC;3,71;-18,22;33;1:2;1:4;1:8;2,3;-16,94;53;ONLINE;1490;SPEC;
4707;SM;SC;3,39;-18,05;40;1:2;1:4;1:8;2,26;-15,93;51;ONLINE;1490;SPEC;
4931;SM;SC;3,54;-21,37;36;1:2;1:4;1:8;2,36;-18,86;55;ONLINE;1490;SPEC;
4711;SM;SC;3,51;-18,61;34;1:2;1:4;1:8;2,34;-16,75;56;ONLINE;1490;SPEC;
5049;SM;SC;3,65;-21,03;35;1:2;1:4;1:8;2,43;-19,87;43;ONLINE;1490;SPEC;
5222;SM;SC;3,65;-17,57;28;1:2;1:4;1:8;2,43;-20,75;42;ONLINE;1490;SPEC;
4858;SM;SC;3,69;-19,36;40;1:2;1:4;1:8;2,46;-17,59;45;ONLINE;1490;SPEC;
4876;SM;SC;4,01;-18,02;26;1:2;1:4;1:8;2,67;-16,95;58;ONLINE;1490;SPEC;
4877;SM;SC;3,66;-17,7;31;1:2;1:4;1:8;2,44;-17,24;51;ONLINE;1490;SPEC;
4875;SM;SC;3,81;-17,68;30;1:2;1:4;1:8;2,54;-16,42;44;ONLINE;1490;SPEC;
2543;SM;SC;3,48;-19,24;35;1:2;1:4;1:8;2,32;-18,15;38;ONLINE;1490;SPEC;
3585;SM;SC;3,48;-20,41;33;1:2;1:2;1:16;2,32;-19,17;44;ONLINE;1490;SPEC;
3536;SM;SC;3,32;-20,92;33;1:2;1:2;1:16;2,21;-19,35;44;ONLINE;1490;SPEC;
3405;SM;SC;3,57;-24,56;32;1:2;1:2;1:16;2,38;-22,52;44;ONLINE;1490;UNSPEC;
3524;SM;SC;3,47;-22,22;27;1:2;1:2;1:16;2,31;-20,26;44;ONLINE;1490;SPEC;
3514;SM;SC;3,26;-21,14;39;1:2;1:2;1:16;2,17;-19,91;43;ONLINE;1490;SPEC;
3590;SM;SC;3,35;-20,76;30;1:2;1:2;1:16;2,23;-19,2;45;ONLINE;1490;SPEC;
3429;SM;SC;3,33;-21,62;38;1:2;1:2;1:16;2,22;-19,58;49;ONLINE;1490;SPEC;
3422;SM;SC;3,33;-24,69;27;1:2;1:2;1:16;2,22;-21,27;44;ONLINE;1490;UNSPEC;
2589;SM;SC;3,18;-30,96;40;1:2;1:4;1:8;2,12;-29,21;55;ONLINE;1490;UNSPEC;
2589;SM;SC;3,53;-30,59;26;1:2;1:4;1:8;2,35;-28,86;54;ONLINE;1490;UNSPEC;
2154;SM;SC;3,48;-22,97;25;1:2;1:4;1:8;2,32;-21,67;45;ONLINE;1490;SPEC;
2739;SM;SC;3,63;-31,35;25;1:2;1:4;1:8;2,42;-29,58;54;ONLINE;1490;UNSPEC;
2739;SM;SC;3,66;-31,35;29;1:2;1:4;1:8;2,44;-29,58;50;ONLINE;1490;UNSPEC;
2293;SM;SC;3,17;-19,58;38;1:2;1:4;1:8;2,11;-18,47;50;ONLINE;1490;SPEC;
2471;SM;SC;3,5;-18,07;36;1:2;1:4;1:8;2,33;-17,05;51;ONLINE;1490;SPEC;
2327;SM;SC;3,29;-18,75;37;1:2;1:4;1:8;2,19;-17,69;35;ONLINE;1490;SPEC;
2071;SM;SC;3,11;-20,17;32;1:2;1:4;1:8;2,07;-19,03;39;ONLINE;1490;SPEC;
2070;SM;SC;3,08;-20,13;33;1:2;1:4;1:8;2,05;-18,99;40;ONLINE;1490;SPEC;
2071;SM;SC;3,17;-20,92;38;1:2;1:4;1:8;2,11;-19,74;50;ONLINE;1490;SPEC;
2312;SM;SC;3,29;-17,48;28;1:2;1:4;1:8;2,19;-16,49;41;ONLINE;1490;SPEC;
2588;SM;SC;3,39;-28,84;33;1:2;1:4;1:8;2,26;-27,21;39;ONLINE;1490;UNSPEC;
2640;SM;SC;3,17;-24,3;32;1:2;1:4;1:8;2,11;-22,92;44;ONLINE;1490;UNSPEC;
2588;SM;SC;3,17;-27,76;30;1:2;1:4;1:8;2,11;-26,19;35;ONLINE;1490;UNSPEC;
2574;SM;SC;3,17;-26,74;28;1:2;1:4;1:8;2,11;-25,23;54;ONLINE;1490;UNSPEC;
2163;SM;SC;3,06;-19,58;40;1:2;1:4;1:8;2,04;-18,47;54;ONLINE;1490;SPEC;
2119;SM;SC;3,59;-19,78;30;1:2;1:4;1:8;2,39;-18,66;49;ONLINE;1490;SPEC;
2208;SM;SC;3,29;-21,43;32;1:2;1:4;1:8;2,19;-20,22;52;ONLINE;1490;SPEC;
2535;SM;SC;3,29;-18,44;35;1:2;1:4;1:8;2,19;-17,4;35;ONLINE;1490;SPEC;
2664;SM;SC;3,26;-23,11;28;1:2;1:4;1:8;2,17;-21,8;54;ONLINE;1490;SPEC;
2293;SM;SC;3,09;-17,28;28;1:2;1:4;1:8;2,06;-16,3;46;ONLINE;1490;SPEC;
6606;SM;SC;3,57;-17,25;31;1:2;1:4;1:8;2,38;-16,27;38;ONLINE;1490;SPEC;
6423;SM;SC;3,45;-17,47;30;1:2;1:4;1:8;2,3;-16,48;47;ONLINE;1490;SPEC;
6550;SM;SC;3,59;-17,3;40;1:2;1:4;1:8;2,39;-16,32;49;ONLINE;1490;SPEC;
6582;SM;SC;3,66;-18,5;36;1:2;1:4;1:8;2,44;-17,45;39;ONLINE;1490;SPEC;
6570;SM;SC;3,08;-18,82;28;1:2;1:4;1:8;2,05;-17,75;49;ONLINE;1490;SPEC;
6622;SM;SC;3,32;-17,64;28;1:2;1:4;1:8;2,21;-16,64;51;ONLINE;1490;SPEC;
6411;SM;SC;3,24;-17,61;26;1:2;1:4;1:8;2,16;-16,61;55;ONLINE;1490;SPEC;
4117;SM;SC;3,39;-22,11;36;1:2;1:4;1:8;2,26;-20,86;45;ONLINE;1490;SPEC;
4122;SM;SC;2,87;-21,34;26;1:2;1:4;1:8;1,91;-20,13;43;ONLINE;1490;SPEC;
4283;SM;SC;3,41;-22,71;37;1:2;1:4;1:8;2,27;-21,42;54;ONLINE;1490;SPEC;
2422;SM;SC;3,48;-20,44;27;1:2;1:4;1:8;2,32;-19,28;51;ONLINE;1490;SPEC;
2338;SM;SC;3,2;-26,16;35;1:2;1:4;1:8;2,13;-24,68;42;ONLINE;1490;UNSPEC;
2317;SM;SC;3,62;-23,55;36;1:2;1:4;1:8;2,41;-22,22;44;ONLINE;1490;SPEC;
2338;SM;SC;3,08;-22,28;26;1:2;1:4;1:8;2,05;-21,02;44;ONLINE;1490;SPEC;
2167;SM;SC;3,53;-30,59;33;1:2;1:4;1:8;2,35;-28,86;46;ONLINE;1490;UNSPEC;
2399;SM;SC;3,83;-22,84;31;1:2;1:4;1:8;2,55;-21,55;38;ONLINE;1490;SPEC;
2195;SM;SC;3,15;-23,95;40;1:2;1:4;1:8;2,1;-22,59;54;ONLINE;1490;SPEC;
2246;SM;SC;2,97;-27,22;29;1:2;1:4;1:8;1,98;-25,68;51;ONLINE;1490;UNSPEC;
2210;SM;SC;3,53;-20,51;27;1:2;1:4;1:8;2,35;-19,35;55;ONLINE;1490;SPEC;
2112;SM;SC;3,36;-24,87;30;1:2;1:4;1:8;2,24;-23,46;46;ONLINE;1490;UNSPEC;
2247;SM;SC;2,87;-32,84;30;1:2;1:4;1:8;1,91;-30,98;49;ONLINE;1490;UNSPEC;
2244;SM;SC;3,27;-21,49;27;1:2;1:4;1:8;2,18;-20,27;50;ONLINE;1490;SPEC;
7974;SM;SC;3,06;-21,53;33;1:2;1:4;1:8;2,04;-20,31;39;ONLINE;1490;SPEC;
7849;SM;SC;3,6;-19,33;28;1:2;1:4;1:8;2,4;-18,24;43;ONLINE;1490;SPEC;
7844;SM;SC;2,99;-21,53;37;1:2;1:4;1:8;1,99;-20,31;35;ONLINE;1490;SPEC;
7845;SM;SC;3,3;-26,58;25;1:2;1:4;1:8;2,2;-25,08;52;ONLINE;1490;UNSPEC;
7665;SM;SC;3,33;-26,74;30;1:2;1:4;1:8;2,22;-25,23;40;ONLINE;1490;UNSPEC;
7857;SM;SC;3,03;-23,55;28;1:2;1:4;1:8;2,02;-22,22;49;ONLINE;1490;SPEC;
7738;SM;SC;2,94;-29,35;30;1:2;1:4;1:8;1,96;-27,69;46;ONLINE;1490;UNSPEC;
7870;SM;SC;3,06;-22,92;31;1:2;1:4;1:8;2,04;-21,62;47;ONLINE;1490;SPEC;
8118;SM;SC;3,68;-21,28;25;1:2;1:4;1:8;2,45;-20,08;46;ONLINE;1490;SPEC;
7730;SM;SC;2,82;-20,44;35;1:2;1:4;1:8;1,88;-19,28;50;ONLINE;1490;SPEC;
7725;SM;SC;3,45;-20,13;29;1:2;1:4;1:8;2,3;-18,99;37;ONLINE;1490;SPEC;
7583;SM;SC;3;-20,1;37;1:2;1:4;1:8;2;-18,96;43;ONLINE;1490;SPEC;
7960;SM;SC;3,08;-25,77;35;1:2;1:4;1:8;2,05;-24,31;53;ONLINE;1490;UNSPEC;
7850;SM;SC;2,93;-19,12;37;1:2;1:4;1:8;1,95;-18,04;55;ONLINE;1490;SPEC;
7744;SM;SC;3,66;-20,44;25;1:2;1:4;1:8;2,44;-19,28;43;ONLINE;1490;SPEC;
4795;SM;SC;3,23;-19,61;36;1:2;1:4;1:8;2,15;-18,5;49;ONLINE;1490;SPEC;
4889;SM;SC;3,65;-19,81;26;1:2;1:4;1:8;2,43;-18,69;55;ONLINE;1490;SPEC;
4798;SM;SC;3,27;-23,95;40;1:2;1:4;1:8;2,18;-22,59;55;ONLINE;1490;SPEC;
4848;SM;SC;3,59;-25,77;38;1:2;1:4;1:8;2,39;-24,31;54;ONLINE;1490;UNSPEC;
4825;SM;SC;3,24;-19,37;36;1:2;1:4;1:8;2,16;-18,27;42;ONLINE;1490;SPEC;
4674;SM;SC;3,93;-22,58;34;1:2;1:4;1:8;2,62;-21,3;37;ONLINE;1490;SPEC;
4823;SM;SC;3,32;-19,78;27;1:2;1:4;1:8;2,21;-18,66;55;ONLINE;1490;SPEC;
4766;SM;SC;3,29;-20,28;27;1:2;1:4;1:8;2,19;-19,13;47;ONLINE;1490;SPEC;
3638;SM;SC;3,73;-25,98;42;1:2;1:4;1:8;2,65;-23,98;46;ONLINE;1490;UNSPEC;
6318;SM;SC;3,84;-20,66;30;1:2;1:4;1:8;2,23;-17,82;41;ONLINE;1490;SPEC;
2596;SM;SC;3,93;-22,52;40;1:2;1:4;1:8;2,33;-20,75;46;ONLINE;1490;SPEC;
1300;SM;SC;3,73;-23,88;31;1:2;1:4;1:16;1,82;-20,6;49;ONLINE;1490;SPEC;
744;SM;SC;3,36;-22,93;28;1:2;1:4;1:16;2,24;-22,75;50;ONLINE;1490;SPEC;
1249;SM;SC;2,79;-21,68;26;1:2;1:4;1:16;1,86;-19,13;50;ONLINE;1490;SPEC;
1304;SM;SC;3,32;-27,7;29;1:2;1:4;1:16;2,21;-24,2;48;ONLINE;1490;UNSPEC;
1512;SM;SC;3,63;-23,19;38;1:2;1:4;1:16;2,42;-21,13;45;ONLINE;1490;SPEC;
864;SM;SC;3,87;-18,87;33;1:2;1:4;1:16;2,58;-18,15;43;ONLINE;1490;SPEC;
1305;SM;SC;3,23;-27,22;33;1:2;1:4;1:16;2,15;-24,43;47;ONLINE;1490;UNSPEC;
903;SM;SC;3,74;-19,83;40;1:2;1:4;1:16;2,49;-17,98;39;ONLINE;1490;SPEC;
768;SM;SC;3,27;-18,03;40;1:2;1:4;1:16;2,18;-17,28;60;ONLINE;1490;SPEC;
